date,rainfall_mm,latitude,longitude,rainfall_state
2024-01-01,0.0,20.5,78.25,dry
2024-01-02,0.0,20.5,78.25,dry
2024-01-03,0.0,20.5,78.25,dry
2024-01-04,0.0,20.5,78.25,dry
2024-01-05,0.0,20.5,78.25,dry
2024-01-06,0.0,20.5,78.25,dry
2024-01-07,0.0,20.5,78.25,dry
2024-01-08,0.0,20.5,78.25,dry
2024-01-09,0.0,20.5,78.25,dry
2024-01-10,0.0,20.5,78.25,dry
2024-01-11,0.37278807163238525,20.5,78.25,drizzle
2024-01-12,0.0,20.5,78.25,dry
2024-01-13,0.0,20.5,78.25,dry
2024-01-14,0.0,20.5,78.25,dry
2024-01-15,0.0,20.5,78.25,dry
2024-01-16,0.0,20.5,78.25,dry
2024-01-17,0.0,20.5,78.25,dry
2024-01-18,0.0,20.5,78.25,dry
2024-01-19,0.0,20.5,78.25,dry
2024-01-20,0.0,20.5,78.25,dry
2024-01-21,0.0,20.5,78.25,dry
2024-01-22,0.0,20.5,78.25,dry
2024-01-23,0.12114541232585907,20.5,78.25,drizzle
2024-01-24,0.0,20.5,78.25,dry
2024-01-25,0.0,20.5,78.25,dry
2024-01-26,0.0,20.5,78.25,dry
2024-01-27,0.0,20.5,78.25,dry
2024-01-28,0.0,20.5,78.25,dry
2024-01-29,0.0,20.5,78.25,dry
2024-01-30,0.0,20.5,78.25,dry
2024-01-31,0.0,20.5,78.25,dry
2024-02-01,0.0,20.5,78.25,dry
2024-02-02,0.0,20.5,78.25,dry
2024-02-03,0.0,20.5,78.25,dry
2024-02-04,0.0,20.5,78.25,dry
2024-02-05,0.0,20.5,78.25,dry
2024-02-06,0.0,20.5,78.25,dry
2024-02-07,0.0,20.5,78.25,dry
2024-02-08,0.0,20.5,78.25,dry
2024-02-09,0.0,20.5,78.25,dry
2024-02-10,0.0,20.5,78.25,dry
2024-02-11,0.33918920159339905,20.5,78.25,drizzle
2024-02-12,0.7827273011207581,20.5,78.25,drizzle
2024-02-13,0.0,20.5,78.25,dry
2024-02-14,0.0,20.5,78.25,dry
2024-02-15,0.0,20.5,78.25,dry
2024-02-16,0.0,20.5,78.25,dry
2024-02-17,0.0,20.5,78.25,dry
2024-02-18,0.0,20.5,78.25,dry
2024-02-19,0.0,20.5,78.25,dry
2024-02-20,0.0,20.5,78.25,dry
2024-02-21,0.0,20.5,78.25,dry
2024-02-22,0.0,20.5,78.25,dry
2024-02-23,0.0,20.5,78.25,dry
2024-02-24,0.0,20.5,78.25,dry
2024-02-25,0.0,20.5,78.25,dry
2024-02-26,0.0,20.5,78.25,dry
2024-02-27,3.2138516902923584,20.5,78.25,drizzle
2024-02-28,0.0,20.5,78.25,dry
2024-02-29,0.0,20.5,78.25,dry
2024-03-01,0.0,20.5,78.25,dry
2024-03-02,0.0,20.5,78.25,dry
2024-03-03,0.24547728896141052,20.5,78.25,drizzle
2024-03-04,0.0,20.5,78.25,dry
2024-03-05,0.0,20.5,78.25,dry
2024-03-06,0.0,20.5,78.25,dry
2024-03-07,0.13124896585941315,20.5,78.25,drizzle
2024-03-08,0.0,20.5,78.25,dry
2024-03-09,0.0,20.5,78.25,dry
2024-03-10,0.0,20.5,78.25,dry
2024-03-11,0.0,20.5,78.25,dry
2024-03-12,0.0,20.5,78.25,dry
