date,rainfall_mm,latitude,longitude,rainfall_state
2022-01-01,0.0,20.5,78.25,dry
2022-01-02,0.0,20.5,78.25,dry
2022-01-03,0.0,20.5,78.25,dry
2022-01-04,0.0,20.5,78.25,dry
2022-01-05,0.0,20.5,78.25,dry
2022-01-06,0.0,20.5,78.25,dry
2022-01-07,0.0,20.5,78.25,dry
2022-01-08,0.0,20.5,78.25,dry
2022-01-09,1.4136708974838257,20.5,78.25,drizzle
2022-01-10,5.433620929718018,20.5,78.25,drizzle
2022-01-11,7.908962249755859,20.5,78.25,drizzle
2022-01-12,6.143343448638916,20.5,78.25,drizzle
2022-01-13,0.0,20.5,78.25,dry
2022-01-14,3.8318605422973633,20.5,78.25,drizzle
2022-01-15,0.0,20.5,78.25,dry
2022-01-16,0.0,20.5,78.25,dry
2022-01-17,0.0,20.5,78.25,dry
2022-01-18,0.0,20.5,78.25,dry
2022-01-19,0.0,20.5,78.25,dry
2022-01-20,0.0,20.5,78.25,dry
2022-01-21,0.0,20.5,78.25,dry
2022-01-22,0.0,20.5,78.25,dry
2022-01-23,0.0,20.5,78.25,dry
2022-01-24,0.0,20.5,78.25,dry
2022-01-25,0.0,20.5,78.25,dry
2022-01-26,0.0,20.5,78.25,dry
2022-01-27,0.0,20.5,78.25,dry
2022-01-28,0.0,20.5,78.25,dry
2022-01-29,0.0,20.5,78.25,dry
2022-01-30,0.0,20.5,78.25,dry
2022-01-31,0.0,20.5,78.25,dry
2022-02-01,0.0,20.5,78.25,dry
2022-02-02,0.0,20.5,78.25,dry
2022-02-03,0.0,20.5,78.25,dry
2022-02-04,0.0,20.5,78.25,dry
2022-02-05,0.0,20.5,78.25,dry
2022-02-06,0.0,20.5,78.25,dry
2022-02-07,0.0,20.5,78.25,dry
2022-02-08,0.0,20.5,78.25,dry
2022-02-09,0.0,20.5,78.25,dry
2022-02-10,0.0,20.5,78.25,dry
2022-02-11,0.0,20.5,78.25,dry
2022-02-12,0.0,20.5,78.25,dry
2022-02-13,0.0,20.5,78.25,dry
2022-02-14,0.0,20.5,78.25,dry
2022-02-15,0.0,20.5,78.25,dry
2022-02-16,0.0,20.5,78.25,dry
2022-02-17,0.49230343103408813,20.5,78.25,drizzle
2022-02-18,0.0,20.5,78.25,dry
2022-02-19,0.0,20.5,78.25,dry
2022-02-20,0.0,20.5,78.25,dry
2022-02-21,0.0,20.5,78.25,dry
2022-02-22,0.0,20.5,78.25,dry
2022-02-23,0.0,20.5,78.25,dry
2022-02-24,0.0,20.5,78.25,dry
2022-02-25,0.0,20.5,78.25,dry
2022-02-26,0.0,20.5,78.25,dry
2022-02-27,0.0,20.5,78.25,dry
2022-02-28,0.0,20.5,78.25,dry
2022-03-01,0.0,20.5,78.25,dry
2022-03-02,0.0,20.5,78.25,dry
2022-03-03,0.0,20.5,78.25,dry
2022-03-04,0.0,20.5,78.25,dry
2022-03-05,0.0,20.5,78.25,dry
2022-03-06,0.0,20.5,78.25,dry
2022-03-07,0.0,20.5,78.25,dry
2022-03-08,0.0,20.5,78.25,dry
2022-03-09,0.0,20.5,78.25,dry
2022-03-10,0.0,20.5,78.25,dry
2022-03-11,0.0,20.5,78.25,dry
2022-03-12,0.0,20.5,78.25,dry
2022-03-13,0.0,20.5,78.25,dry
2022-03-14,0.0,20.5,78.25,dry
2022-03-15,0.0,20.5,78.25,dry
2022-03-16,0.0,20.5,78.25,dry
2022-03-17,0.0,20.5,78.25,dry
2022-03-18,0.0,20.5,78.25,dry
2022-03-19,0.0,20.5,78.25,dry
2022-03-20,0.0,20.5,78.25,dry
2022-03-21,0.0,20.5,78.25,dry
2022-03-22,0.0,20.5,78.25,dry
2022-03-23,0.0,20.5,78.25,dry
2022-03-24,0.0,20.5,78.25,dry
2022-03-25,0.0,20.5,78.25,dry
2022-03-26,0.0,20.5,78.25,dry
2022-03-27,0.0,20.5,78.25,dry
2022-03-28,0.0,20.5,78.25,dry
2022-03-29,0.0,20.5,78.25,dry
2022-03-30,0.0,20.5,78.25,dry
2022-03-31,0.0,20.5,78.25,dry
2022-04-01,0.0,20.5,78.25,dry
2022-04-02,0.0,20.5,78.25,dry
2022-04-03,0.0,20.5,78.25,dry
2022-04-04,0.0,20.5,78.25,dry
