date,rainfall_mm,latitude,longitude,rainfall_state
2020-01-01,2.803272008895874,20.5,78.25,drizzle
2020-01-02,3.174006700515747,20.5,78.25,drizzle
2020-01-03,7.319052219390869,20.5,78.25,drizzle
2020-01-04,0.0,20.5,78.25,dry
2020-01-05,0.0,20.5,78.25,dry
2020-01-06,0.0,20.5,78.25,dry
2020-01-07,0.0,20.5,78.25,dry
2020-01-08,0.0,20.5,78.25,dry
2020-01-09,4.980004787445068,20.5,78.25,drizzle
2020-01-10,0.0,20.5,78.25,dry
2020-01-11,0.0,20.5,78.25,dry
2020-01-12,0.0,20.5,78.25,dry
2020-01-13,0.0,20.5,78.25,dry
2020-01-14,0.0,20.5,78.25,dry
2020-01-15,0.0,20.5,78.25,dry
2020-01-16,0.0,20.5,78.25,dry
2020-01-17,0.0,20.5,78.25,dry
2020-01-18,0.0,20.5,78.25,dry
2020-01-19,0.0,20.5,78.25,dry
2020-01-20,0.0,20.5,78.25,dry
2020-01-21,0.0,20.5,78.25,dry
2020-01-22,0.0,20.5,78.25,dry
2020-01-23,0.0,20.5,78.25,dry
2020-01-24,0.0,20.5,78.25,dry
2020-01-25,0.0,20.5,78.25,dry
2020-01-26,0.0,20.5,78.25,dry
2020-01-27,0.0,20.5,78.25,dry
2020-01-28,0.2355206608772277,20.5,78.25,dry
2020-01-29,0.0,20.5,78.25,dry
2020-01-30,0.0,20.5,78.25,dry
2020-01-31,0.0,20.5,78.25,dry
2020-02-01,0.0,20.5,78.25,dry
2020-02-02,0.0,20.5,78.25,dry
2020-02-03,0.0,20.5,78.25,dry
2020-02-04,0.0,20.5,78.25,dry
2020-02-05,0.0,20.5,78.25,dry
2020-02-06,0.0,20.5,78.25,dry
2020-02-07,0.0,20.5,78.25,dry
2020-02-08,0.0,20.5,78.25,dry
2020-02-09,0.0,20.5,78.25,dry
2020-02-10,0.0,20.5,78.25,dry
2020-02-11,0.0,20.5,78.25,dry
2020-02-12,0.0,20.5,78.25,dry
2020-02-13,0.0,20.5,78.25,dry
2020-02-14,0.0,20.5,78.25,dry
2020-02-15,0.0,20.5,78.25,dry
2020-02-16,0.0,20.5,78.25,dry
2020-02-17,0.0,20.5,78.25,dry
2020-02-18,0.0,20.5,78.25,dry
2020-02-19,0.0,20.5,78.25,dry
2020-02-20,0.0,20.5,78.25,dry
2020-02-21,0.0,20.5,78.25,dry
2020-02-22,0.0,20.5,78.25,dry
2020-02-23,0.0,20.5,78.25,dry
2020-02-24,0.0,20.5,78.25,dry
2020-02-25,0.0,20.5,78.25,dry
2020-02-26,0.0,20.5,78.25,dry
2020-02-27,0.0,20.5,78.25,dry
2020-02-28,0.0,20.5,78.25,dry
2020-02-29,0.0,20.5,78.25,dry
2020-03-01,0.0,20.5,78.25,dry
2020-03-02,1.0414308309555054,20.5,78.25,drizzle
2020-03-03,0.0,20.5,78.25,dry
2020-03-04,0.0,20.5,78.25,dry
2020-03-05,0.0,20.5,78.25,dry
2020-03-06,0.0,20.5,78.25,dry
2020-03-07,0.0,20.5,78.25,dry
2020-03-08,0.0,20.5,78.25,dry
2020-03-09,0.4122124910354614,20.5,78.25,dry
2020-03-10,2.911064624786377,20.5,78.25,drizzle
2020-03-11,1.3035739660263062,20.5,78.25,drizzle
2020-03-12,0.0,20.5,78.25,dry
2020-03-13,0.0,20.5,78.25,dry
2020-03-14,5.770974636077881,20.5,78.25,drizzle
2020-03-15,0.0,20.5,78.25,dry
2020-03-16,0.0,20.5,78.25,dry
2020-03-17,0.0,20.5,78.25,dry
2020-03-18,1.8164268732070925,20.5,78.25,drizzle
2020-03-19,0.8492757678031921,20.5,78.25,dry
2020-03-20,0.2061062455177307,20.5,78.25,dry
2020-03-21,0.0,20.5,78.25,dry
2020-03-22,0.0,20.5,78.25,dry
2020-03-23,0.0,20.5,78.25,dry
2020-03-24,0.0,20.5,78.25,dry
2020-03-25,0.0,20.5,78.25,dry
2020-03-26,3.838148593902588,20.5,78.25,drizzle
2020-03-27,0.0,20.5,78.25,dry
2020-03-28,0.0,20.5,78.25,dry
2020-03-29,1.1429444551467896,20.5,78.25,drizzle
2020-03-30,3.280766487121582,20.5,78.25,drizzle
2020-03-31,5.4676194190979,20.5,78.25,drizzle
2020-04-01,1.7741886377334597,20.5,78.25,drizzle
2020-04-02,0.0,20.5,78.25,dry
2020-04-03,0.0,20.5,78.25,dry
2020-04-04,1.6029255390167236,20.5,78.25,drizzle
2020-04-05,0.9342747330665588,20.5,78.25,dry
2020-04-06,0.0,20.5,78.25,dry
2020-04-07,0.0,20.5,78.25,dry
2020-04-08,0.0,20.5,78.25,dry
2020-04-09,0.0,20.5,78.25,dry
2020-04-10,0.0,20.5,78.25,dry
2020-04-11,0.0,20.5,78.25,dry
2020-04-12,0.0,20.5,78.25,dry
2020-04-13,0.0,20.5,78.25,dry
2020-04-14,0.0,20.5,78.25,dry
2020-04-15,0.0,20.5,78.25,dry
