date,rainfall_mm,latitude,longitude,rainfall_state
2019-01-01,0.0,20.5,78.25,dry
2019-01-02,0.0,20.5,78.25,dry
2019-01-03,0.0,20.5,78.25,dry
2019-01-04,0.0,20.5,78.25,dry
2019-01-05,0.0,20.5,78.25,dry
2019-01-06,0.0,20.5,78.25,dry
2019-01-07,0.0,20.5,78.25,dry
2019-01-08,0.0,20.5,78.25,dry
2019-01-09,0.0,20.5,78.25,dry
2019-01-10,0.0,20.5,78.25,dry
2019-01-11,0.0,20.5,78.25,dry
2019-01-12,0.0,20.5,78.25,dry
2019-01-13,0.0,20.5,78.25,dry
2019-01-14,0.0,20.5,78.25,dry
2019-01-15,0.0,20.5,78.25,dry
2019-01-16,0.0,20.5,78.25,dry
2019-01-17,0.0,20.5,78.25,dry
2019-01-18,0.0,20.5,78.25,dry
2019-01-19,0.0,20.5,78.25,dry
2019-01-20,0.0,20.5,78.25,dry
2019-01-21,0.0,20.5,78.25,dry
2019-01-22,0.0,20.5,78.25,dry
2019-01-23,0.0,20.5,78.25,dry
2019-01-24,0.0,20.5,78.25,dry
2019-01-25,1.9667710065841677,20.5,78.25,drizzle
2019-01-26,0.0,20.5,78.25,dry
2019-01-27,0.0,20.5,78.25,dry
2019-01-28,0.0,20.5,78.25,dry
2019-01-29,0.0,20.5,78.25,dry
2019-01-30,0.0,20.5,78.25,dry
2019-01-31,0.0,20.5,78.25,dry
2019-02-01,0.0,20.5,78.25,dry
2019-02-02,0.0,20.5,78.25,dry
2019-02-03,0.0,20.5,78.25,dry
2019-02-04,0.0,20.5,78.25,dry
2019-02-05,0.0,20.5,78.25,dry
2019-02-06,0.0,20.5,78.25,dry
2019-02-07,0.0,20.5,78.25,dry
2019-02-08,0.0,20.5,78.25,dry
2019-02-09,0.0,20.5,78.25,dry
2019-02-10,0.0,20.5,78.25,dry
2019-02-11,0.0,20.5,78.25,dry
2019-02-12,0.0,20.5,78.25,dry
2019-02-13,0.0,20.5,78.25,dry
2019-02-14,0.0,20.5,78.25,dry
2019-02-15,0.0,20.5,78.25,dry
2019-02-16,0.5612393021583557,20.5,78.25,dry
2019-02-17,0.0,20.5,78.25,dry
2019-02-18,0.0,20.5,78.25,dry
2019-02-19,0.0,20.5,78.25,dry
2019-02-20,0.0,20.5,78.25,dry
2019-02-21,0.0,20.5,78.25,dry
2019-02-22,0.0,20.5,78.25,dry
2019-02-23,0.0,20.5,78.25,dry
2019-02-24,0.0,20.5,78.25,dry
2019-02-25,0.0,20.5,78.25,dry
2019-02-26,0.0,20.5,78.25,dry
2019-02-27,0.0,20.5,78.25,dry
2019-02-28,0.0,20.5,78.25,dry
2019-03-01,0.0,20.5,78.25,dry
2019-03-02,0.0,20.5,78.25,dry
2019-03-03,0.0,20.5,78.25,dry
2019-03-04,0.0,20.5,78.25,dry
2019-03-05,0.0,20.5,78.25,dry
2019-03-06,0.0,20.5,78.25,dry
2019-03-07,0.0,20.5,78.25,dry
2019-03-08,0.0,20.5,78.25,dry
2019-03-09,0.0,20.5,78.25,dry
2019-03-10,0.0,20.5,78.25,dry
2019-03-11,0.0,20.5,78.25,dry
2019-03-12,0.0,20.5,78.25,dry
2019-03-13,0.0,20.5,78.25,dry
2019-03-14,0.0,20.5,78.25,dry
2019-03-15,0.0,20.5,78.25,dry
2019-03-16,0.0,20.5,78.25,dry
2019-03-17,0.0,20.5,78.25,dry
2019-03-18,0.0,20.5,78.25,dry
2019-03-19,0.0,20.5,78.25,dry
2019-03-20,0.0,20.5,78.25,dry
2019-03-21,0.3586344718933105,20.5,78.25,dry
2019-03-22,0.0,20.5,78.25,dry
2019-03-23,0.0,20.5,78.25,dry
2019-03-24,0.0,20.5,78.25,dry
2019-03-25,0.0,20.5,78.25,dry
2019-03-26,0.0,20.5,78.25,dry
2019-03-27,0.0,20.5,78.25,dry
2019-03-28,0.0,20.5,78.25,dry
2019-03-29,0.0,20.5,78.25,dry
2019-03-30,0.0,20.5,78.25,dry
2019-03-31,0.0,20.5,78.25,dry
2019-04-01,0.0,20.5,78.25,dry
2019-04-02,0.0,20.5,78.25,dry
2019-04-03,0.0,20.5,78.25,dry
2019-04-04,0.5694433450698853,20.5,78.25,dry
2019-04-05,0.0,20.5,78.25,dry
2019-04-06,0.0,20.5,78.25,dry
2019-04-07,0.0,20.5,78.25,dry
2019-04-08,0.0,20.5,78.25,dry
2019-04-09,0.0,20.5,78.25,dry
2019-04-10,0.0,20.5,78.25,dry
2019-04-11,0.0,20.5,78.25,dry
2019-04-12,0.0,20.5,78.25,dry
2019-04-13,0.0,20.5,78.25,dry
2019-04-14,0.0,20.5,78.25,dry
2019-04-15,0.0,20.5,78.25,dry
2019-04-16,0.9516078233718872,20.5,78.25,dry
2019-04-17,0.3965078890323639,20.5,78.25,dry
2019-04-18,0.0,20.5,78.25,dry
2019-04-19,0.0,20.5,78.25,dry
2019-04-20,0.0,20.5,78.25,dry
2019-04-21,0.0,20.5,78.25,dry
2019-04-22,0.0,20.5,78.25,dry
2019-04-23,0.0,20.5,78.25,dry
2019-04-24,0.0,20.5,78.25,dry
2019-04-25,0.0,20.5,78.25,dry
2019-04-26,0.0,20.5,78.25,dry
2019-04-27,0.0,20.5,78.25,dry
2019-04-28,0.0,20.5,78.25,dry
2019-04-29,0.0,20.5,78.25,dry
2019-04-30,0.0,20.5,78.25,dry
2019-05-01,0.0,20.5,78.25,dry
2019-05-02,0.0,20.5,78.25,dry
2019-05-03,0.0,20.5,78.25,dry
2019-05-04,0.0,20.5,78.25,dry
2019-05-05,0.0,20.5,78.25,dry
2019-05-06,0.0,20.5,78.25,dry
2019-05-07,0.0,20.5,78.25,dry
2019-05-08,0.0,20.5,78.25,dry
2019-05-09,0.0,20.5,78.25,dry
2019-05-10,0.0,20.5,78.25,dry
2019-05-11,0.0,20.5,78.25,dry
2019-05-12,0.0,20.5,78.25,dry
2019-05-13,0.0,20.5,78.25,dry
2019-05-14,0.0,20.5,78.25,dry
2019-05-15,0.0,20.5,78.25,dry
2019-05-16,0.0,20.5,78.25,dry
2019-05-17,0.0,20.5,78.25,dry
2019-05-18,0.0,20.5,78.25,dry
2019-05-19,0.0,20.5,78.25,dry
2019-05-20,0.0,20.5,78.25,dry
2019-05-21,0.0,20.5,78.25,dry
2019-05-22,0.0,20.5,78.25,dry
2019-05-23,0.0,20.5,78.25,dry
2019-05-24,0.0,20.5,78.25,dry
2019-05-25,0.0,20.5,78.25,dry
2019-05-26,0.0,20.5,78.25,dry
2019-05-27,0.0,20.5,78.25,dry
2019-05-28,0.0,20.5,78.25,dry
2019-05-29,0.0,20.5,78.25,dry
2019-05-30,0.0,20.5,78.25,dry
2019-05-31,0.0,20.5,78.25,dry
2019-06-01,0.0,20.5,78.25,dry
2019-06-02,0.0,20.5,78.25,dry
2019-06-03,0.0,20.5,78.25,dry
2019-06-04,0.4400199353694916,20.5,78.25,dry
2019-06-05,1.171847581863403,20.5,78.25,drizzle
2019-06-06,1.2973157167434692,20.5,78.25,drizzle
2019-06-07,0.0,20.5,78.25,dry
2019-06-08,0.6600298881530762,20.5,78.25,dry
2019-06-09,0.3416660130023956,20.5,78.25,dry
2019-06-10,0.0,20.5,78.25,dry
2019-06-11,0.0,20.5,78.25,dry
2019-06-12,0.1156481280922889,20.5,78.25,dry
2019-06-13,0.0,20.5,78.25,dry
2019-06-14,0.0,20.5,78.25,dry
2019-06-15,0.0,20.5,78.25,dry
2019-06-16,0.0,20.5,78.25,dry
2019-06-17,0.0,20.5,78.25,dry
2019-06-18,0.0,20.5,78.25,dry
2019-06-19,0.0,20.5,78.25,dry
2019-06-20,0.0,20.5,78.25,dry
2019-06-21,1.796417474746704,20.5,78.25,drizzle
2019-06-22,2.9434335231781006,20.5,78.25,drizzle
2019-06-23,10.70145034790039,20.5,78.25,rain
2019-06-24,2.99320650100708,20.5,78.25,drizzle
2019-06-25,0.0,20.5,78.25,dry
2019-06-26,0.1865472048521042,20.5,78.25,dry
2019-06-27,6.964839935302734,20.5,78.25,drizzle
2019-06-28,13.21721649169922,20.5,78.25,rain
2019-06-29,5.425953388214111,20.5,78.25,drizzle
2019-06-30,25.276641845703125,20.5,78.25,rain
2019-07-01,16.810298919677734,20.5,78.25,rain
2019-07-02,9.64412784576416,20.5,78.25,drizzle
2019-07-03,7.605988025665283,20.5,78.25,drizzle
2019-07-04,4.547518253326416,20.5,78.25,drizzle
2019-07-05,8.769922256469727,20.5,78.25,drizzle
2019-07-06,5.946400165557861,20.5,78.25,drizzle
2019-07-07,3.974489212036133,20.5,78.25,drizzle
2019-07-08,5.179944515228272,20.5,78.25,drizzle
2019-07-09,2.5543572902679443,20.5,78.25,drizzle
2019-07-10,8.440447807312012,20.5,78.25,drizzle
2019-07-11,0.0,20.5,78.25,dry
2019-07-12,0.0,20.5,78.25,dry
2019-07-13,0.0,20.5,78.25,dry
2019-07-14,0.0,20.5,78.25,dry
2019-07-15,0.7557229399681091,20.5,78.25,dry
2019-07-16,0.0,20.5,78.25,dry
2019-07-17,0.0,20.5,78.25,dry
2019-07-18,0.0,20.5,78.25,dry
2019-07-19,9.509904861450195,20.5,78.25,drizzle
2019-07-20,2.5688066482543945,20.5,78.25,drizzle
2019-07-21,2.718630075454712,20.5,78.25,drizzle
2019-07-22,5.359070301055908,20.5,78.25,drizzle
2019-07-23,0.9618290662765504,20.5,78.25,dry
2019-07-24,1.2587122917175293,20.5,78.25,drizzle
2019-07-25,0.0,20.5,78.25,dry
2019-07-26,18.81110954284668,20.5,78.25,rain
2019-07-27,7.897945404052734,20.5,78.25,drizzle
2019-07-28,23.919208526611328,20.5,78.25,rain
2019-07-29,5.390022277832031,20.5,78.25,drizzle
2019-07-30,36.50092315673828,20.5,78.25,rain
2019-07-31,77.42896270751953,20.5,78.25,rain
2019-08-01,6.635375022888184,20.5,78.25,drizzle
2019-08-02,2.295604467391968,20.5,78.25,drizzle
2019-08-03,23.938180923461918,20.5,78.25,rain
2019-08-04,1.400004744529724,20.5,78.25,drizzle
2019-08-05,5.27903413772583,20.5,78.25,drizzle
2019-08-06,3.925892353057861,20.5,78.25,drizzle
2019-08-07,6.157853126525879,20.5,78.25,drizzle
2019-08-08,5.85392951965332,20.5,78.25,drizzle
2019-08-09,28.452850341796875,20.5,78.25,rain
2019-08-10,4.025251865386963,20.5,78.25,drizzle
2019-08-11,1.5801477432250977,20.5,78.25,drizzle
2019-08-12,0.3878390192985534,20.5,78.25,dry
2019-08-13,0.529655396938324,20.5,78.25,dry
2019-08-14,18.924240112304688,20.5,78.25,rain
2019-08-15,0.1486904472112655,20.5,78.25,dry
2019-08-16,0.7197875380516052,20.5,78.25,dry
2019-08-17,0.8961265087127686,20.5,78.25,dry
2019-08-18,0.0,20.5,78.25,dry
2019-08-19,0.0,20.5,78.25,dry
2019-08-20,1.9907397031784055,20.5,78.25,drizzle
2019-08-21,7.052415370941162,20.5,78.25,drizzle
2019-08-22,0.0,20.5,78.25,dry
2019-08-23,0.336934357881546,20.5,78.25,dry
2019-08-24,0.6666365265846252,20.5,78.25,dry
2019-08-25,0.72694993019104,20.5,78.25,dry
2019-08-26,5.751204013824463,20.5,78.25,drizzle
2019-08-27,5.629177570343018,20.5,78.25,drizzle
2019-08-28,2.97607970237732,20.5,78.25,drizzle
2019-08-29,0.2398013919591903,20.5,78.25,dry
2019-08-30,1.9531135559082031,20.5,78.25,drizzle
2019-08-31,7.579005241394043,20.5,78.25,drizzle
2019-09-01,14.465254783630373,20.5,78.25,rain
2019-09-02,0.7972207069396973,20.5,78.25,dry
2019-09-03,1.3836733102798462,20.5,78.25,drizzle
2019-09-04,3.6177737712860103,20.5,78.25,drizzle
2019-09-05,6.762247085571289,20.5,78.25,drizzle
2019-09-06,2.516252279281616,20.5,78.25,drizzle
2019-09-07,10.105066299438477,20.5,78.25,rain
2019-09-08,0.8635610938072205,20.5,78.25,dry
2019-09-09,2.862466335296631,20.5,78.25,drizzle
2019-09-10,3.4088635444641118,20.5,78.25,drizzle
2019-09-11,1.4625704288482666,20.5,78.25,drizzle
2019-09-12,18.575063705444336,20.5,78.25,rain
2019-09-13,0.2900655567646026,20.5,78.25,dry
2019-09-14,1.8691504001617432,20.5,78.25,drizzle
2019-09-15,0.2673742771148681,20.5,78.25,dry
2019-09-16,2.974059581756592,20.5,78.25,drizzle
2019-09-17,1.1905163526535034,20.5,78.25,drizzle
2019-09-18,15.773198127746582,20.5,78.25,rain
2019-09-19,0.0,20.5,78.25,dry
2019-09-20,0.8405159115791321,20.5,78.25,dry
2019-09-21,0.9382286667823792,20.5,78.25,dry
2019-09-22,4.270473957061768,20.5,78.25,drizzle
2019-09-23,0.4853053092956543,20.5,78.25,dry
2019-09-24,17.20780372619629,20.5,78.25,rain
2019-09-25,12.80659294128418,20.5,78.25,rain
2019-09-26,2.2514333724975586,20.5,78.25,drizzle
2019-09-27,6.209177970886231,20.5,78.25,drizzle
2019-09-28,0.0,20.5,78.25,dry
2019-09-29,0.0,20.5,78.25,dry
2019-09-30,7.11917781829834,20.5,78.25,drizzle
2019-10-01,1.54230797290802,20.5,78.25,drizzle
2019-10-02,0.6980294585227966,20.5,78.25,dry
2019-10-03,0.0,20.5,78.25,dry
2019-10-04,0.0,20.5,78.25,dry
2019-10-05,0.0,20.5,78.25,dry
2019-10-06,0.0,20.5,78.25,dry
2019-10-07,0.0,20.5,78.25,dry
2019-10-08,0.0,20.5,78.25,dry
2019-10-09,0.0,20.5,78.25,dry
2019-10-10,0.0,20.5,78.25,dry
2019-10-11,0.0,20.5,78.25,dry
2019-10-12,0.0,20.5,78.25,dry
2019-10-13,0.0,20.5,78.25,dry
2019-10-14,0.0,20.5,78.25,dry
2019-10-15,0.0,20.5,78.25,dry
2019-10-16,0.0,20.5,78.25,dry
2019-10-17,0.0,20.5,78.25,dry
2019-10-18,0.0,20.5,78.25,dry
2019-10-19,0.0,20.5,78.25,dry
2019-10-20,1.4000482559204102,20.5,78.25,drizzle
2019-10-21,3.5038061141967773,20.5,78.25,drizzle
2019-10-22,0.0,20.5,78.25,dry
2019-10-23,0.0,20.5,78.25,dry
2019-10-24,0.0,20.5,78.25,dry
2019-10-25,0.0,20.5,78.25,dry
2019-10-26,0.0,20.5,78.25,dry
2019-10-27,3.541455030441284,20.5,78.25,drizzle
2019-10-28,4.354580879211426,20.5,78.25,drizzle
2019-10-29,0.0,20.5,78.25,dry
2019-10-30,0.0,20.5,78.25,dry
2019-10-31,0.0,20.5,78.25,dry
2019-11-01,3.002810001373291,20.5,78.25,drizzle
2019-11-02,1.8252981901168823,20.5,78.25,drizzle
2019-11-03,0.1138886734843254,20.5,78.25,dry
2019-11-04,0.0,20.5,78.25,dry
2019-11-05,0.0,20.5,78.25,dry
2019-11-06,0.0,20.5,78.25,dry
2019-11-07,0.0,20.5,78.25,dry
2019-11-08,0.0,20.5,78.25,dry
2019-11-09,0.0,20.5,78.25,dry
2019-11-10,0.0,20.5,78.25,dry
2019-11-11,0.0,20.5,78.25,dry
2019-11-12,0.0,20.5,78.25,dry
2019-11-13,0.0,20.5,78.25,dry
2019-11-14,0.0,20.5,78.25,dry
2019-11-15,0.0,20.5,78.25,dry
2019-11-16,0.0,20.5,78.25,dry
2019-11-17,0.0,20.5,78.25,dry
2019-11-18,0.0,20.5,78.25,dry
2019-11-19,0.0,20.5,78.25,dry
2019-11-20,0.0,20.5,78.25,dry
2019-11-21,0.0,20.5,78.25,dry
2019-11-22,0.0,20.5,78.25,dry
2019-11-23,0.0,20.5,78.25,dry
2019-11-24,0.0,20.5,78.25,dry
2019-11-25,0.0,20.5,78.25,dry
