decision_date,initial_state,training_rows,actual_future_rows,actual_total_mm,simulated_mean_mm,simulated_median_mm,simulated_p10_mm,simulated_p90_mm,actual_percentile
2020-06-15,drizzle,531,14,60.83553886413574,37.13411253921688,34.17387681826949,11.909904935956002,66.63677349090577,86.1
2020-07-15,drizzle,561,14,73.00595852732658,110.21889527618885,99.86313301324844,53.64500086903572,181.41100074648858,24.7
2020-08-15,drizzle,592,14,45.5135255753994,63.25416367469728,62.03468035161495,37.71061194390059,90.35173794478177,21.099999999999998
2021-06-15,drizzle,896,14,129.04395031929016,56.78617527487129,52.67898724973202,22.710042755305768,97.4416951082647,97.3
2021-07-15,drizzle,926,14,114.29244339466095,101.62119693234563,94.74056182801723,51.467785221338275,160.57063867449762,67.60000000000001
2021-08-15,drizzle,957,14,126.43424114584923,54.356616673961284,53.55653481185436,28.18555468171835,81.2038501933217,99.9
2022-06-15,dry,1261,14,81.99238449335098,52.37258429691195,46.252267111092806,17.64965871870518,98.21978396326304,83.7
2022-07-15,rain,1291,14,311.43914583325386,140.06929943037034,126.28621649742126,64.54499767124653,234.86323096454146,98.4
2022-08-15,rain,1322,14,25.122699320316315,93.86457531867921,84.60110396146774,31.591309551894668,164.93314775377513,5.3
2023-06-15,dry,1626,14,45.1585925295949,51.67761489354074,47.072201151400805,19.320899850130083,90.98345150947571,47.199999999999996
2023-07-15,drizzle,1656,14,351.8124701976776,146.29674252218007,128.8814379274845,63.13324609398842,256.2447216451168,98.0
2023-08-15,drizzle,1687,14,102.12388884578831,75.68225920235366,65.66097167134285,25.86554483026266,138.53404366075995,75.0
2024-06-15,drizzle,1992,14,146.51939883828163,53.87053415269405,50.32872931659222,21.302491016685963,92.31158828884364,99.8
2024-07-15,drizzle,2022,14,333.60331839323044,165.99595314589143,150.5199328660965,66.55789758265018,285.39246303737167,94.69999999999999
2024-08-15,drizzle,2053,14,95.31950299441814,76.97405048501213,68.80056050419807,23.644713511783632,142.39320526020603,68.30000000000001
