decision_date,actual_total_mm,baseline_mean_mm,baseline_error_mm,baseline_absolute_error_mm,monte_carlo_mean_mm,monte_carlo_error_mm,monte_carlo_absolute_error_mm,monte_carlo_actual_percentile
2020-06-15,60.83553886413574,33.439254093576565,-27.396284770559177,27.396284770559177,37.13411253921688,-23.701426324918863,23.701426324918863,86.1
2020-07-15,73.00595852732658,117.9452513562308,44.939292828904215,44.939292828904215,110.21889527618885,37.21293674886226,37.21293674886226,24.7
2020-08-15,45.5135255753994,62.45888765321839,16.94536207781899,16.94536207781899,63.25416367469728,17.740638099297882,17.740638099297882,21.099999999999998
2021-06-15,129.04395031929016,53.00466836505647,-76.0392819542337,76.0392819542337,56.78617527487129,-72.25777504441888,72.25777504441888,97.3
2021-07-15,114.29244339466095,104.78016417434338,-9.512279220317566,9.512279220317566,101.62119693234563,-12.671246462315324,12.671246462315324,67.60000000000001
2021-08-15,126.43424114584923,53.50267148566872,-72.93156966018051,72.93156966018051,54.356616673961284,-72.07762447188794,72.07762447188794,99.9
2022-06-15,81.99238449335098,58.25421432548989,-23.738170167861092,23.738170167861092,52.37258429691195,-29.61980019643903,29.61980019643903,83.7
2022-07-15,311.43914583325386,133.69093339242667,-177.7482124408272,177.7482124408272,140.06929943037034,-171.36984640288352,171.36984640288352,98.4
2022-08-15,25.122699320316315,86.45203123917092,61.329331918854606,61.329331918854606,93.86457531867921,68.7418759983629,68.7418759983629,5.3
2023-06-15,45.1585925295949,54.171783977813675,9.013191448218777,9.013191448218777,51.67761489354074,6.519022363945844,6.519022363945844,47.199999999999996
2023-07-15,351.8124701976776,150.89949546344033,-200.91297473423728,200.91297473423728,146.29674252218007,-205.51572767549754,205.51572767549754,98.0
2023-08-15,102.12388884578831,73.37335566199127,-28.750533183797046,28.750533183797046,75.68225920235366,-26.441629643434652,26.441629643434652,75.0
2024-06-15,146.51939883828163,51.29141955386573,-95.22797928441591,95.22797928441591,53.87053415269405,-92.64886468558758,92.64886468558758,99.8
2024-07-15,333.60331839323044,166.71962217510452,-166.88369621812592,166.88369621812592,165.99595314589143,-167.607365247339,167.607365247339,94.69999999999999
2024-08-15,95.31950299441814,74.77812182610943,-20.541381168308718,20.541381168308718,76.97405048501213,-18.345452509406016,18.345452509406016,68.30000000000001
